dimension,num_prod,run,iters_to_NE,NE
10,100,14,35,[14. 18. 11.  8.  0.  9. 20.  5.  8.  7.]
10,100,15,41,[14. 18. 11.  8.  0.  9. 20.  5.  8.  7.]
10,100,16,44,[14. 18. 11.  8.  0.  9. 20.  5.  8.  7.]
10,100,17,45,[14. 18. 11.  8.  0.  9. 20.  5.  8.  7.]
10,100,18,35,[14. 18. 11.  8.  0.  9. 20.  5.  8.  7.]
10,100,19,38,[14. 18. 11.  8.  0.  9. 20.  5.  8.  7.]
15,10,0,8,[1. 1. 2. 1. 0. 1. 1. 0. 0. 1. 0. 0. 0. 0. 2.]
15,10,1,7,[1. 1. 2. 1. 0. 1. 1. 0. 0. 1. 0. 0. 0. 0. 2.]
15,10,2,6,[1. 1. 2. 1. 0. 1. 1. 0. 0. 1. 0. 0. 0. 0. 2.]
15,10,3,7,[1. 1. 2. 1. 0. 1. 1. 0. 0. 1. 0. 0. 0. 0. 2.]
15,10,4,11,[1. 1. 2. 1. 0. 1. 1. 0. 0. 1. 0. 0. 0. 0. 2.]
15,10,5,7,[1. 1. 2. 1. 0. 1. 1. 0. 0. 1. 0. 0. 0. 0. 2.]
15,10,6,6,[1. 1. 2. 1. 0. 1. 1. 0. 0. 1. 0. 0. 0. 0. 2.]
15,10,7,10,[1. 1. 2. 1. 0. 1. 1. 0. 0. 1. 0. 0. 0. 0. 2.]
15,10,8,5,[1. 1. 2. 1. 0. 1. 1. 0. 0. 1. 0. 0. 0. 0. 2.]
15,10,9,8,[1. 1. 2. 1. 0. 1. 1. 0. 0. 1. 0. 0. 0. 0. 2.]
